Contract Number,Filename,Status,Risk Level,Contract Type,Contract Value,Party A,Party B,Start Date,End Date,Compliance Factors
CNT-2024-0001,CNT-2024-0001_ACTIVE_LOW_Equipment_Rental_Agreement.txt,ACTIVE,LOW,Equipment Rental Agreement,"10,510",GlobalCorp Industries,BuildPro Construction,"October 03, 2025","November 25, 2028",Standard
CNT-2024-0001,CNT-2024-0001_ACTIVE_LOW_Vendor_Agreement.txt,ACTIVE,LOW,Vendor Agreement,"14,305",GlobalCorp Industries,SecureData Corp,"June 29, 2025","June 04, 2027",Standard
CNT-2024-0002,CNT-2024-0002_ACTIVE_LOW_Distribution_Agreement.txt,ACTIVE,LOW,Distribution Agreement,"17,459",TechCorp Solutions,DataVault Systems,"August 04, 2025","January 12, 2027",Standard
CNT-2024-0003,CNT-2024-0003_ACTIVE_LOW_Software_Licensing_Agreement.txt,ACTIVE,LOW,Software Licensing Agreement,"19,126",NexGen Technologies,BuildPro Construction,"March 14, 2025","February 24, 2028",Standard
CNT-2024-0004,CNT-2024-0004_ACTIVE_LOW_Software_Licensing_Agreement.txt,ACTIVE,LOW,Software Licensing Agreement,"14,606",NexGen Technologies,VendorMax Solutions,"February 09, 2025","September 12, 2027",Standard
CNT-2024-0005,CNT-2024-0005_ACTIVE_LOW_Equipment_Lease.txt,ACTIVE,LOW,Equipment Lease,"22,517",GlobalCorp Industries,BuildPro Construction,"September 13, 2025","August 03, 2028",Standard
CNT-2024-0006,CNT-2024-0006_ACTIVE_LOW_Data_Processing_Agreement.txt,ACTIVE,LOW,Data Processing Agreement,"11,317",DataStream Systems,SecureData Corp,"March 30, 2025","July 03, 2028",Standard
CNT-2024-0007,CNT-2024-0007_ACTIVE_LOW_Partnership_Agreement.txt,ACTIVE,LOW,Partnership Agreement,"11,432",InnovateTech Inc,CloudScale Networks,"January 19, 2025","June 24, 2027",Standard
CNT-2024-0008,CNT-2024-0008_ACTIVE_LOW_Data_Processing_Agreement.txt,ACTIVE,LOW,Data Processing Agreement,"5,616",NexGen Technologies,DataVault Systems,"October 22, 2025","September 07, 2027",Standard
CNT-2024-0009,CNT-2024-0009_ACTIVE_MEDIUM_Construction_Contract.txt,ACTIVE,MEDIUM,Construction Contract,"56,459",InnovateTech Inc,CloudScale Networks,"March 24, 2025","September 08, 2027",Standard
CNT-2024-0010,CNT-2024-0010_ACTIVE_MEDIUM_Consulting_Services_Agreement.txt,ACTIVE,MEDIUM,Consulting Services Agreement,"48,088",NexGen Technologies,SecureData Corp,"September 24, 2025","February 20, 2028",Standard
CNT-2024-0011,CNT-2024-0011_ACTIVE_MEDIUM_API_Integration_License.txt,ACTIVE,MEDIUM,API Integration License,"27,848",NexGen Technologies,CloudScale Networks,"September 16, 2025","June 28, 2028",Standard
CNT-2024-0012,CNT-2024-0012_ACTIVE_MEDIUM_Equipment_Rental_Agreement.txt,ACTIVE,MEDIUM,Equipment Rental Agreement,"56,332",NexGen Technologies,CloudScale Networks,"July 26, 2025","March 25, 2029",Standard
CNT-2024-0013,CNT-2024-0013_ACTIVE_MEDIUM_Data_Processing_Agreement.txt,ACTIVE,MEDIUM,Data Processing Agreement,"29,398",InnovateTech Inc,BuildPro Construction,"August 22, 2025","November 11, 2027",Standard
CNT-2024-0014,CNT-2024-0014_ACTIVE_MEDIUM_Data_Processing_Agreement.txt,ACTIVE,MEDIUM,Data Processing Agreement,"59,591",GlobalCorp Industries,SecureData Corp,"November 17, 2025","May 01, 2027",Standard
CNT-2024-0015,CNT-2024-0015_ACTIVE_MEDIUM_Development_Agreement.txt,ACTIVE,MEDIUM,Development Agreement,"32,147",NexGen Technologies,SecureData Corp,"February 02, 2025","September 08, 2027",Standard
CNT-2024-0016,CNT-2024-0016_ACTIVE_MEDIUM_IT_Support_Contract.txt,ACTIVE,MEDIUM,IT Support Contract,"50,639",GlobalCorp Industries,VendorMax Solutions,"March 06, 2025","August 21, 2027",Standard
CNT-2024-0017,CNT-2024-0017_ACTIVE_MEDIUM_Development_Agreement.txt,ACTIVE,MEDIUM,Development Agreement,"87,082",InnovateTech Inc,DataVault Systems,"June 30, 2025","May 30, 2028",Standard
CNT-2024-0018,CNT-2024-0018_ACTIVE_MEDIUM_Vendor_Agreement.txt,ACTIVE,MEDIUM,Vendor Agreement,"80,271",DataStream Systems,BuildPro Construction,"December 02, 2025","March 27, 2029",Standard
CNT-2024-0019,CNT-2024-0019_ACTIVE_HIGH_Subscription_Agreement.txt,ACTIVE,HIGH,Subscription Agreement,"140,710",TechCorp Solutions,VendorMax Solutions,"March 09, 2025","March 16, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0020,CNT-2024-0020_ACTIVE_HIGH_Cloud_Services_Agreement.txt,ACTIVE,HIGH,Cloud Services Agreement,"372,019",NexGen Technologies,SecureData Corp,"January 30, 2025","August 03, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0021,CNT-2024-0021_ACTIVE_HIGH_Marketing_Services_Agreement.txt,ACTIVE,HIGH,Marketing Services Agreement,"286,795",DataStream Systems,DataVault Systems,"August 24, 2025","October 10, 2026","GDPR, PCI-DSS, SOC 2"
